product_id,product_group,product_category,product_type,product,product_description,unit_of_measure,current_cost,current_wholesale_price,current_retail_price,tax_exempt_yn,promo_yn,new_product_yn
20,Whole Bean/Teas,Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,Certified organic containing the highest quality ingredients. ,1 lb,2.2800000000000002,6.08,7.6,Y,N,N
21,Whole Bean/Teas,Packaged Chocolate,Drinking Chocolate,Chili Mayan,"Fragrant with spices, this is the most flavourful drinking chocolate you will find.",1 lb,3.9989999999999997,10.66,13.33,Y,N,N
22,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Sm,An honest cup a coffee.,8 oz,1.0,1.0,2.0,Y,N,N
23,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Rg,An honest cup a coffee.,16 oz,1.25,1.25,2.5,Y,N,N
24,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Lg,An honest cup a coffee.,24 oz,1.5,1.5,3.0,Y,N,N
25,Beverages,Coffee,Organic brewed coffee,Brazilian Sm,It's like Carnival in a cup. Clean and smooth.,8 oz,1.1,1.1,2.2,Y,N,N
26,Beverages,Coffee,Organic brewed coffee,Brazilian Rg,It's like Carnival in a cup. Clean and smooth.,16 oz,1.5,1.5,3.0,Y,N,N
27,Beverages,Coffee,Organic brewed coffee,Brazilian Lg,It's like Carnival in a cup. Clean and smooth.,24 oz,1.75,1.75,3.5,Y,N,N
28,Beverages,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,A smooth cup of coffee any time of day. ,8 oz,1.0,1.0,2.0,Y,N,N
29,Beverages,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,A smooth cup of coffee any time of day. ,16 oz,1.25,1.25,2.5,Y,N,N
30,Beverages,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,A smooth cup of coffee any time of day. ,24 oz,1.5,1.5,3.0,Y,N,N
31,Beverages,Coffee,Gourmet brewed coffee,Ethiopia Sm,A bold cup when you want that something extra.,8 oz,1.1,1.1,2.2,Y,N,N
32,Beverages,Coffee,Gourmet brewed coffee,Ethiopia Rg,A bold cup when you want that something extra.,16 oz,1.875,1.5,3.0,Y,N,N
33,Beverages,Coffee,Gourmet brewed coffee,Ethiopia Lg,A bold cup when you want that something extra.,24 oz,2.1875,1.75,3.5,Y,N,N
34,Beverages,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Still a front runner for good premium coffee. ,8 oz,1.53125,1.225,2.45,Y,N,N
35,Beverages,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Still a front runner for good premium coffee. ,16 oz,1.9375,1.55,3.1,Y,N,N
36,Beverages,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Still a front runner for good premium coffee. ,24 oz,2.34375,1.875,3.75,Y,N,N
37,Beverages,Coffee,Barista Espresso,Espresso shot,You will think you are in Venice when you sip this one. ,1.5 oz,1.875,1.5,3.0,Y,N,N
38,Beverages,Coffee,Barista Espresso,Latte,You will think you are in Venice when you sip this one. ,1.5 oz,2.34375,1.875,3.75,Y,N,N
39,Beverages,Coffee,Barista Espresso,Latte Rg,You will think you are in Venice when you sip this one. ,3.0 oz,2.65625,2.125,4.25,Y,N,N
40,Beverages,Coffee,Barista Espresso,Cappuccino,You will think you are in Venice when you sip this one. ,1.5 oz,2.34375,1.875,3.75,Y,N,N
41,Beverages,Coffee,Barista Espresso,Cappuccino Lg,You will think you are in Venice when you sip this one. ,3.0 oz,2.65625,2.125,4.25,Y,N,N
42,Beverages,Tea,Brewed herbal tea,Lemon Grass Rg,You will think you are in Thailand. ,16 oz,1.875,1.25,2.5,Y,N,N
43,Beverages,Tea,Brewed herbal tea,Lemon Grass Lg,You will think you are in Thailand. ,24 oz,2.25,1.5,3.0,Y,N,N
44,Beverages,Tea,Brewed herbal tea,Peppermint Rg,A cool and refreshing cup.,16 oz,1.875,1.25,2.5,Y,N,N
45,Beverages,Tea,Brewed herbal tea,Peppermint Lg,A cool and refreshing cup.,24 oz,2.25,1.5,3.0,Y,N,N
46,Beverages,Tea,Brewed Green tea,Serenity Green Tea Rg,Feel the stress leaving your body. ,16 oz,1.875,1.25,2.5,Y,N,N
47,Beverages,Tea,Brewed Green tea,Serenity Green Tea Lg,Feel the stress leaving your body. ,24 oz,2.25,1.5,3.0,Y,N,N
48,Beverages,Tea,Brewed Black tea,English Breakfast Rg,The Queen's favourite cuppa in the morning. ,16 oz,1.875,1.25,2.5,Y,N,N
49,Beverages,Tea,Brewed Black tea,English Breakfast Lg,The Queen's favourite cuppa in the morning. ,24 oz,2.25,1.5,3.0,Y,N,N
50,Beverages,Tea,Brewed Black tea,Earl Grey Rg,Tradition in a cup.,16 oz,1.875,1.25,2.5,Y,N,N
51,Beverages,Tea,Brewed Black tea,Earl Grey Lg,Tradition in a cup.,24 oz,2.25,1.5,3.0,Y,N,N
52,Beverages,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Sit back and think of the tropical breezes.,16 oz,2.1875,1.25,2.5,Y,N,N
53,Beverages,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Sit back and think of the tropical breezes.,24 oz,2.625,1.5,3.0,Y,N,N
54,Beverages,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Face the morning after your yoga routine. ,16 oz,2.1875,1.25,2.5,Y,N,N
55,Beverages,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Face the morning after your yoga routine. ,24 oz,3.5,2.0,4.0,Y,N,N
56,Beverages,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,When you need your eyes opened wide.,16 oz,2.2312499999999997,1.275,2.55,Y,N,N
57,Beverages,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,When you need your eyes opened wide.,24 oz,2.7125,1.55,3.1,Y,N,N
58,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,"Slightly bitter, but still very rich. ",12 oz,3.0625,1.75,3.5,Y,N,N
59,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,"Slightly bitter, but still very rich. ",16 oz,3.9375,2.25,4.5,Y,N,N
60,Beverages,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Just pure notes of spice.,12 oz,3.28125,1.875,3.75,Y,N,N
61,Beverages,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Just pure notes of spice.,16 oz,4.15625,2.375,4.75,Y,N,N
62,Beverages,Drinking Chocolate,Hot chocolate,Snow Day Hot Chocolate,Added marshmallows for the needed sugar rush.,8 oz,3.0,1.5,3.0,Y,N,N
63,Add-ons,Flavours,Regular syrup,Carmel syrup,Rich carmel taste,pump,0.8,0.4,0.8,Y,N,N
64,Add-ons,Flavours,Regular syrup,Hazelnut syrup,Bursting with nutty flavour,pump,0.8,0.4,0.78,Y,N,N
65,Add-ons,Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Our favorite,pump,0.8,0.4,0.82,Y,N,N
66,Beverages,Coffee,Seasonal drink,Pumpkin Spice Latte,"Boo, its that time of year again",1.5 oz,4.95,2.475,4.95,Y,N,N
67,Beverages,Coffee,Seasonal drink,Pumpkin Spice Latte Lg,"Boo, its that time of year again",3.0 oz,5.95,2.975,5.95,Y,Y,N
68,Beverages,Drinking Chocolate,Seasonal drink,Happy Holidays hot chocolate,"Candy cane and hot chocolate, perfect.",8 oz,3.75,1.875,3.75,Y,Y,Y
75,Food,Bakery,Pastry,Croissant,Flakey and buttery,single,4.96,2.11,3.25,N,N,N
70,Food,Bakery,Scone,Cranberry Scone,Like Grandma used to make,single,4.96,2.11,3.25,N,N,N
71,Food,Bakery,Pastry,Chocolate Croissant,Chocolate flakes,single,6.16,2.44,3.75,N,N,N
72,Food,Bakery,Scone,Ginger Scone,Little bit of spice,single,5.58,2.11,3.25,N,N,N
73,Food,Bakery,Pastry,Almond Croissant,Crunch!,single,6.93,2.44,3.75,N,N,N
74,Food,Bakery,Biscotti,Ginger Biscotti,Crunch!,single,6.5249999999999995,2.28,3.5,N,N,N
69,Food,Bakery,Biscotti,Hazelnut Biscotti,Crunch!,single,6.5249999999999995,2.28,3.5,N,N,N
76,Food,Bakery,Biscotti,Chocolate Chip Biscotti,Crunch!,single,6.5249999999999995,2.28,3.5,N,N,N
77,Food,Bakery,Scone,Oatmeal Scone,Grannys fav,single,4.005,1.95,3.0,N,N,N
78,Food,Bakery,Scone,Scottish Cream Scone ,Old time comfort,single,7.875,2.93,4.5,N,N,N
79,Food,Bakery,Scone,Jumbo Savory Scone,"Anytime, anywhere",single,5.985,2.44,3.75,N,N,N
80,Merchandise,Branded,Clothing,I Need My Bean! Toque,keep your head bean warm,single,18.0,7.36,23.0,N,N,N
81,Merchandise,Branded,Clothing,I Need My Bean! T-shirt,Stylish chic,single,27.0,8.96,28.0,N,N,N
82,Merchandise,Branded,Housewares,I Need My Bean! Diner mug,Classic,single,10.0,3.84,12.0,N,N,N
83,Merchandise,Branded,Housewares,I Need My Bean! Latte cup,The cup and saucer set is the perfect way to enjoy your latte at home,single,12.5,4.48,14.0,N,N,N
84,Add-ons,Flavours,Regular syrup,Chocolate syrup,Bursting with chocolate flavour,pump,1.0,0.3,0.76,Y,N,N
85,Beverages,Coffee,Specialty coffee,Rio Nights,2 shots of Ouro Brasilerio and pure cane sugar syrup,6 oz,7.5,3.0,6.0,Y,N,Y
87,Beverages,Coffee,Barista Espresso,Ouro Brasileiro shot,From Rio,1.5 oz,3.75,1.5,3.0,Y,N,N
88,Beverages,Coffee,Barista Espresso,Ouro Brasileiro shot promo,Ouro promo,16 oz,2.625,1.05,2.1,Y,Y,N
